feature,importance_gain
h2h_recent_win_rate_diff_last_5,0.13825196
h2h_recent_win_rate_last_5,0.09408399
h2h_win_rate_diff_before_match,0.078407146
team2_h2h_win_rate_before_match,0.05698539
team1_h2h_win_rate_before_match,0.046967894
team1_New Zealand,0.039069135
team1_Zimbabwe,0.03905345
team1_India,0.03714517
team1_Sri Lanka,0.034822892
team2_Zimbabwe,0.03322673
team2_India,0.031177087
team2_Afghanistan,0.03026774
team2_Pakistan,0.026500836
team1_England,0.026398841
venue_Unknown,0.025944972
team1_Afghanistan,0.025404904
team1_Australia,0.02531913
team2_Australia,0.024276895
team1_South Africa,0.023668997
team2_England,0.023650482
h2h_matches_played_before,0.023426516
team2_South Africa,0.023194848
team1_Ireland,0.023065105
team2_New Zealand,0.019931417
venue_Shere Bangla National Stadium,0.01912644
team2_Sri Lanka,0.015484073
h2h_pair_key_India__vs__Sri Lanka,0.01514798
h2h_pair_key_Canada__vs__Kenya,0.0
h2h_pair_key_Canada__vs__Ireland,0.0
h2h_pair_key_Bermuda__vs__Netherlands,0.0
h2h_pair_key_Bermuda__vs__Kenya,0.0
h2h_pair_key_Bangladesh__vs__Zimbabwe,0.0
h2h_pair_key_Bangladesh__vs__Sri Lanka,0.0
h2h_pair_key_Bangladesh__vs__South Africa,0.0
h2h_pair_key_Bangladesh__vs__Scotland,0.0
h2h_pair_key_Bangladesh__vs__Pakistan,0.0
h2h_pair_key_Bangladesh__vs__New Zealand,0.0
h2h_pair_key_Bangladesh__vs__Netherlands,0.0
h2h_pair_key_Bangladesh__vs__India,0.0
h2h_pair_key_Bangladesh__vs__West Indies,0.0
h2h_pair_key_Hong Kong__vs__Pakistan,0.0
h2h_pair_key_Hong Kong__vs__India,0.0
h2h_pair_key_England__vs__West Indies,0.0
h2h_pair_key_England__vs__Sri Lanka,0.0
h2h_pair_key_England__vs__South Africa,0.0
h2h_pair_key_England__vs__Scotland,0.0
h2h_pair_key_England__vs__Pakistan,0.0
h2h_pair_key_England__vs__New Zealand,0.0
h2h_pair_key_Bangladesh__vs__Ireland,0.0
h2h_pair_key_England__vs__Ireland,0.0
h2h_pair_key_England__vs__India,0.0
h2h_pair_key_Canada__vs__Zimbabwe,0.0
h2h_pair_key_Canada__vs__West Indies,0.0
h2h_pair_key_Canada__vs__Sri Lanka,0.0
h2h_pair_key_Canada__vs__Scotland,0.0
h2h_pair_key_Canada__vs__Pakistan,0.0
h2h_pair_key_Canada__vs__New Zealand,0.0
h2h_pair_key_Canada__vs__Netherlands,0.0
h2h_pair_key_England__vs__Netherlands,0.0
venue_Zahur Ahmed Chowdhury Stadium,0.0
h2h_pair_key_Afghanistan__vs__Australia,0.0
h2h_pair_key_Afghanistan__vs__Bangladesh,0.0
h2h_pair_key_Afghanistan__vs__Canada,0.0
h2h_pair_key_Afghanistan__vs__England,0.0
h2h_pair_key_Afghanistan__vs__Hong Kong,0.0
h2h_pair_key_Afghanistan__vs__India,0.0
h2h_pair_key_Afghanistan__vs__Ireland,0.0
h2h_pair_key_Afghanistan__vs__Kenya,0.0
h2h_pair_key_Afghanistan__vs__Netherlands,0.0
h2h_pair_key_Afghanistan__vs__New Zealand,0.0
h2h_pair_key_Afghanistan__vs__Pakistan,0.0
h2h_pair_key_Afghanistan__vs__Scotland,0.0
h2h_pair_key_Afghanistan__vs__South Africa,0.0
h2h_pair_key_Afghanistan__vs__Sri Lanka,0.0
h2h_pair_key_Australia__vs__England,0.0
h2h_pair_key_Bangladesh__vs__England,0.0
h2h_pair_key_Australia__vs__Zimbabwe,0.0
h2h_pair_key_Australia__vs__West Indies,0.0
h2h_pair_key_Australia__vs__Sri Lanka,0.0
h2h_pair_key_Australia__vs__South Africa,0.0
h2h_pair_key_Australia__vs__Scotland,0.0
h2h_pair_key_Australia__vs__Pakistan,0.0
h2h_pair_key_Afghanistan__vs__United Arab Emirates,0.0
h2h_pair_key_Australia__vs__Kenya,0.0
h2h_pair_key_Australia__vs__Ireland,0.0
h2h_pair_key_Australia__vs__India,0.0
h2h_pair_key_Hong Kong__vs__Papua New Guinea,0.0
h2h_pair_key_Australia__vs__Canada,0.0
h2h_pair_key_Australia__vs__Bangladesh,0.0
h2h_pair_key_Afghanistan__vs__Zimbabwe,0.0
h2h_pair_key_Afghanistan__vs__West Indies,0.0
h2h_pair_key_Australia__vs__New Zealand,0.0
h2h_pair_key_Scotland__vs__Zimbabwe,0.0
h2h_pair_key_South Africa__vs__Sri Lanka,0.0
